GeneSymbol	tax_id	GeneID	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
RBX1	9606	9978	-	BA554C12.1|RNF75|ROC1	MIM:603814|HGNC:HGNC:9928|Ensembl:ENSG00000100387|AllianceGenome:HGNC:9928	22	22q13.2	ring-box 1	protein-coding	RBX1	ring-box 1	O	E3 ubiquitin-protein ligase RBX1|E3 ubiquitin-protein transferase RBX1|RING finger protein 75|RING-box protein 1|ZYP protein|regulator of cullins 1|ring-box 1, E3 ubiquitin protein ligase	20250511	-
RCOR3	9606	55758	-	-	MIM:620464|HGNC:HGNC:25594|Ensembl:ENSG00000117625|AllianceGenome:HGNC:25594	1	1q32.2-q32.3	REST corepressor 3	protein-coding	RCOR3	REST corepressor 3	O	REST corepressor 3	20250503	-
REEP5	9606	7905	-	C5orf18|D5S346|DP1|POB16|TB2|YOP1|Yip2e	MIM:125265|HGNC:HGNC:30077|Ensembl:ENSG00000129625|AllianceGenome:HGNC:30077	5	5q22.2	receptor accessory protein 5	protein-coding	REEP5	receptor accessory protein 5	O	receptor expression-enhancing protein 5|deleted in polyposis 1|polyposis coli region hypothetical protein DP1|polyposis locus protein 1	20250503	-
RGS18	9606	64407	-	RGS13	MIM:607192|HGNC:HGNC:14261|Ensembl:ENSG00000150681|AllianceGenome:HGNC:14261	1	1q31.2	regulator of G protein signaling 18	protein-coding	RGS18	regulator of G protein signaling 18	O	regulator of G-protein signaling 18|regulator of G-protein signalling 13|regulator of G-protein signalling 18	20250503	-
RNASE2	9606	6036	-	EDN|RAF3|RNS2	MIM:131410|HGNC:HGNC:10045|Ensembl:ENSG00000169385|AllianceGenome:HGNC:10045	14	14q11.2	ribonuclease A family member 2	protein-coding	RNASE2	ribonuclease A family member 2	O	non-secretory ribonuclease|RNase 2|RNase UpI-2|eosinophil-derived neurotoxin|ribonuclease 2|ribonuclease A F3|ribonuclease US|ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	20250503	-
RNF10	9606	9921	-	RIE2	MIM:615998|HGNC:HGNC:10055|Ensembl:ENSG00000022840|AllianceGenome:HGNC:10055	12	12q24.31	ring finger protein 10	protein-coding	RNF10	ring finger protein 10	O	E3 ubiquitin-protein ligase RNF10|epididymis secretory sperm binding protein	20250503	-
RNF213	9606	57674	-	ALO17|C17orf27|KIAA1618|MYMY2|MYSTR|NET57	MIM:613768|HGNC:HGNC:14539|Ensembl:ENSG00000173821|AllianceGenome:HGNC:14539	17	17q25.3	ring finger protein 213	protein-coding	RNF213	ring finger protein 213	O	E3 ubiquitin-protein ligase RNF213|protein ALO17|ALK lymphoma oligomerization partner on chromosome 17|E3 ubiquitin-lipopolysaccharide ligase RNF213|RING-type E3 ubiquitin transferase RNF213|mysterin	20250503	-
RPL15	9606	6138	-	DBA12|EC45|L15|RPL10|RPLY10|RPYL10|eL15	MIM:604174|HGNC:HGNC:10306|Ensembl:ENSG00000174748|AllianceGenome:HGNC:10306	3	3p24.2	ribosomal protein L15	protein-coding	RPL15	ribosomal protein L15	O	large ribosomal subunit protein eL15|60S ribosomal protein L15	20250511	-
RPL17	9606	6139	-	L17|PD-1|RPL23|uL22	MIM:603661|HGNC:HGNC:10307|Ensembl:ENSG00000265681|AllianceGenome:HGNC:10307	18	18q21.1	ribosomal protein L17	protein-coding	RPL17	ribosomal protein L17	O	large ribosomal subunit protein uL22|60S ribosomal protein L17|60S ribosomal protein L23|gene encoding putative NFkB activating protein	20250503	-
RPL21	9606	6144	-	HYPT12|L21|eL21	MIM:603636|HGNC:HGNC:10313|Ensembl:ENSG00000122026|AllianceGenome:HGNC:10313	13	13q12.2	ribosomal protein L21	protein-coding	RPL21	ribosomal protein L21	O	large ribosomal subunit protein eL21|60S ribosomal protein L21	20250503	-
RPL23	9606	9349	-	L23|rpL17|uL14	MIM:603662|HGNC:HGNC:10316|Ensembl:ENSG00000125691|AllianceGenome:HGNC:10316	17	17q12	ribosomal protein L23	protein-coding	RPL23	ribosomal protein L23	O	large ribosomal subunit protein uL14|60S ribosomal protein L17|60S ribosomal protein L23|ribosomal protein L17	20250503	-
RPL26	9606	6154	-	DBA11|L26|uL24	MIM:603704|HGNC:HGNC:10327|Ensembl:ENSG00000161970|AllianceGenome:HGNC:10327	17	17p13.1	ribosomal protein L26	protein-coding	RPL26	ribosomal protein L26	O	large ribosomal subunit protein uL24|60S ribosomal protein L26	20250511	-
RPL27	9606	6155	-	DBA16|L27|eL27	MIM:607526|HGNC:HGNC:10328|Ensembl:ENSG00000131469|AllianceGenome:HGNC:10328	17	17q21.31	ribosomal protein L27	protein-coding	RPL27	ribosomal protein L27	O	large ribosomal subunit protein eL27|60S ribosomal protein L27	20250511	-
RPL30	9606	6156	-	L30|eL30	MIM:180467|HGNC:HGNC:10333|Ensembl:ENSG00000156482|AllianceGenome:HGNC:10333	8	8q22.2	ribosomal protein L30	protein-coding	RPL30	ribosomal protein L30	O	large ribosomal subunit protein eL30|60S ribosomal protein L30	20250511	-
RPL31	9606	6160	-	L31|eL31	MIM:617415|HGNC:HGNC:10334|Ensembl:ENSG00000071082|AllianceGenome:HGNC:10334	2	2q11.2	ribosomal protein L31	protein-coding	RPL31	ribosomal protein L31	O	large ribosomal subunit protein eL31|60S ribosomal protein L31	20250503	-
RPL35A	9606	6165	-	DBA5|L35A|eL33	MIM:180468|HGNC:HGNC:10345|Ensembl:ENSG00000182899|AllianceGenome:HGNC:10345	3	3q29	ribosomal protein L35a	protein-coding	RPL35A	ribosomal protein L35a	O	large ribosomal subunit protein eL33|60S ribosomal protein L35a|cell growth-inhibiting gene 33 protein	20250511	-
RPL39	9606	6170	-	L39|RPL39P42|RPL39_23_1806|eL39	MIM:300899|HGNC:HGNC:10350|Ensembl:ENSG00000198918|AllianceGenome:HGNC:10350	X	Xq24	ribosomal protein L39	protein-coding	RPL39	ribosomal protein L39	O	large ribosomal subunit protein eL39|60S ribosomal protein L39	20250511	-
RPL7	9606	6129	-	L7|humL7-1|uL30	MIM:604166|HGNC:HGNC:10363|Ensembl:ENSG00000147604|AllianceGenome:HGNC:10363	8	8q21.11	ribosomal protein L7	protein-coding	RPL7	ribosomal protein L7	O	large ribosomal subunit protein uL30|60S ribosomal protein L7	20250511	-
RPL9	9606	6133	-	L9|NPC-A-16|uL6	MIM:603686|HGNC:HGNC:10369|Ensembl:ENSG00000163682|AllianceGenome:HGNC:10369	4	4p14	ribosomal protein L9	protein-coding	RPL9	ribosomal protein L9	O	large ribosomal subunit protein uL6|60S ribosomal protein L9	20250503	-
RPS15A	9606	6210	-	DBA20|S15a|uS8	MIM:603674|HGNC:HGNC:10389|Ensembl:ENSG00000134419|AllianceGenome:HGNC:10389	16	16p12.3	ribosomal protein S15a	protein-coding	RPS15A	ribosomal protein S15a	O	small ribosomal subunit protein uS8|40S ribosomal protein S15a|up-regulated by HBV X protein	20250503	-
RPS17	9606	6218	-	DBA4|RPS17L|RPS17L1|RPS17L2|S17|eS17	MIM:180472|HGNC:HGNC:10397|Ensembl:ENSG00000182774|AllianceGenome:HGNC:10397	15	15q25.2	ribosomal protein S17	protein-coding	RPS17	ribosomal protein S17	O	small ribosomal subunit protein eS17|40S ribosomal protein S17	20250511	-
RPS18	9606	6222	-	D6S218E|HKE3|KE-3|KE3|S18|uS13	MIM:180473|HGNC:HGNC:10401|Ensembl:ENSG00000231500|AllianceGenome:HGNC:10401	6	6p21.32	ribosomal protein S18	protein-coding	RPS18	ribosomal protein S18	O	small ribosomal subunit protein uS13|40S ribosomal protein S18|rhabdomyosarcoma antigen MU-RMS-40.21	20250511	-
RPS27	9606	6232	-	DBA17|MPS-1|MPS1|S27|eS27	MIM:603702|HGNC:HGNC:10416|Ensembl:ENSG00000177954|AllianceGenome:HGNC:10416	1	1q21.3	ribosomal protein S27	protein-coding	RPS27	ribosomal protein S27	O	small ribosomal subunit protein eS27|metallopan-stimulin 1|metallopanstimulin 1	20250511	-
RPS3A	9606	6189	-	FTE1|MFTL|S3A|eS1	MIM:180478|HGNC:HGNC:10421|Ensembl:ENSG00000145425|AllianceGenome:HGNC:10421	4	4q31.3	ribosomal protein S3A	protein-coding	RPS3A	ribosomal protein S3A	O	small ribosomal subunit protein eS1|40S ribosomal protein S3a|fte-1|v-fos transformation effector protein 1	20250511	-
RPS4Y1	9606	6192	-	RPS4Y|S4	MIM:470000|HGNC:HGNC:10425|Ensembl:ENSG00000129824|AllianceGenome:HGNC:10425	Y	Yp11.2	ribosomal protein S4 Y-linked 1	protein-coding	RPS4Y1	ribosomal protein S4 Y-linked 1	O	small ribosomal subunit protein eS4, Y isoform 1|small ribosomal subunit protein eS4, Y|40S ribosomal protein S4, Y|ribosomal protein S4, Y-linked|ribosomal protein S4Y|small ribosomal subunit protein eS4	20250503	-
RPS9	9606	6203	-	S9|uS4	MIM:603631|HGNC:HGNC:10442|Ensembl:ENSG00000170889|AllianceGenome:HGNC:10442	19	19q13.42	ribosomal protein S9	protein-coding	RPS9	ribosomal protein S9	O	small ribosomal subunit protein uS4|40S ribosomal protein S9	20250511	-
RSBN1	9606	54665	-	KDM9|ROSBIN	MIM:615858|HGNC:HGNC:25642|Ensembl:ENSG00000081019|AllianceGenome:HGNC:25642	1	1p13.2	round spermatid basic protein 1	protein-coding	RSBN1	round spermatid basic protein 1	O	lysine-specific demethylase 9	20250503	-
S100A12	9606	6283	-	CAAF1|CAGC|CGRP|ENRAGE|MRP-6|MRP6|p6	MIM:603112|HGNC:HGNC:10489|Ensembl:ENSG00000163221|AllianceGenome:HGNC:10489	1	1q21.3	S100 calcium binding protein A12	protein-coding	S100A12	S100 calcium binding protein A12	O	protein S100-A12|EN-RAGE|calcitermin|calcium-binding protein in amniotic fluid 1|calgranulin C|extracellular newly identified RAGE-binding protein|migration inhibitory factor-related protein 6|neutrophil S100 protein	20250503	-
S100A8	9606	6279	-	60B8AG|CAGA|CFAG|CGLA|CP-10|L1Ag|MA387|MIF|MRP8|NIF|P8|S100-A8	MIM:123885|HGNC:HGNC:10498|Ensembl:ENSG00000143546|AllianceGenome:HGNC:10498	1	1q21.3	S100 calcium binding protein A8	protein-coding	S100A8	S100 calcium binding protein A8	O	protein S100-A8|calgranulin A|calprotectin L1L subunit|cystic fibrosis antigen|leukocyte L1 complex light chain|migration inhibitory factor-related protein 8|urinary stone protein band A	20250511	-
S100P	9606	6286	-	MIG9	MIM:600614|HGNC:HGNC:10504|Ensembl:ENSG00000163993|AllianceGenome:HGNC:10504	4	4p16.1	S100 calcium binding protein P	protein-coding	S100P	S100 calcium binding protein P	O	protein S100-P|migration-inducing gene 9 protein|protein S100-E	20250503	-
SERPINA13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC35A1	9606	10559	-	CDG2F|CMPST|CST|hCST	MIM:605634|HGNC:HGNC:11021|Ensembl:ENSG00000164414|AllianceGenome:HGNC:11021	6	6q15	solute carrier family 35 member A1	protein-coding	SLC35A1	solute carrier family 35 member A1	O	CMP-sialic acid transporter|CMP-SA-Tr|CMP-Sia-Tr|mutated CMP-sialic acid transporter A1|solute carrier family 35 (CMP-sialic acid transporter), member 1|solute carrier family 35 (CMP-sialic acid transporter), member A1|solute carrier family 35 (UDP-galactose transporter), member 1	20250503	-
SLC38A2	9606	54407	-	ATA2|PRO1068|SAT2|SNAT2	MIM:605180|HGNC:HGNC:13448|Ensembl:ENSG00000134294|AllianceGenome:HGNC:13448	12	12q13.11	solute carrier family 38 member 2	protein-coding	SLC38A2	solute carrier family 38 member 2	O	sodium-coupled neutral amino acid symporter 2|amino acid transporter 2|amino acid transporter A2|protein 40-9-1|sodium-coupled neutral amino acid transporter 2|system A amino acid transporter 2|system A transporter 1|system N amino acid transporter 2	20250503	-
SLPI	9606	6590	-	ALK1|ALP|BLPI|HUSI|HUSI-I|MPI|WAP4|WFDC4	MIM:107285|HGNC:HGNC:11092|Ensembl:ENSG00000124107|AllianceGenome:HGNC:11092	20	20q13.12	secretory leukocyte peptidase inhibitor	protein-coding	SLPI	secretory leukocyte peptidase inhibitor	O	antileukoproteinase|HUSI-1|WAP four-disulfide core domain protein 4|mucus proteinase inhibitor|protease inhibitor WAP4|secretory leukocyte protease inhibitor (antileukoproteinase)|seminal proteinase inhibitor	20250503	-
SMOX	9606	54498	-	C20orf16|PAO|PAO-1|PAO1|PAOH|PAOH1|SMO	MIM:615854|HGNC:HGNC:15862|Ensembl:ENSG00000088826|AllianceGenome:HGNC:15862	20	20p13	spermine oxidase	protein-coding	SMOX	spermine oxidase	O	spermine oxidase|flavin containing amine oxidase|flavin-containing spermine oxidase|polyamine oxidase 1|putative cyclin G1 interacting protein	20250503	-
SNHG5	9606	387066	-	C6orf160|LINC00044|NCRNA00044|U50HG	MIM:613263|HGNC:HGNC:21026|Ensembl:ENSG00000203875|AllianceGenome:HGNC:21026	6	6q14.3	small nucleolar RNA host gene 5	ncRNA	SNHG5	small nucleolar RNA host gene 5	O	U50 host|long intergenic non-protein coding RNA 44|small nucleolar RNA host gene 5 (non-protein coding)	20250503	-
SNRPG	9606	6637	-	SMG|Sm-G	MIM:603542|HGNC:HGNC:11163|Ensembl:ENSG00000143977|AllianceGenome:HGNC:11163	2	2p13.3	small nuclear ribonucleoprotein polypeptide G	protein-coding	SNRPG	small nuclear ribonucleoprotein polypeptide G	O	small nuclear ribonucleoprotein G|sm protein G|snRNP-G	20250503	-
SPOCK2	9606	9806	-	testican-2	MIM:607988|HGNC:HGNC:13564|Ensembl:ENSG00000107742|AllianceGenome:HGNC:13564	10	10q22.1	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2	protein-coding	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2	O	testican-2|SPARC/osteonectin, CWCV, and Kazal-like domains proteoglycan 2|SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2|sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	20250503	-
SPRYD3	9606	84926	-	-	HGNC:HGNC:25920|Ensembl:ENSG00000167778|AllianceGenome:HGNC:25920	12	12q13.13	SPRY domain containing 3	protein-coding	SPRYD3	SPRY domain containing 3	O	SPRY domain-containing protein 3	20250304	-
SPTAN1	9606	6709	-	DEE5|DEVEP|EIEE5|HMN11|HMND11|NEAS|SPG91|SPTA2	MIM:182810|HGNC:HGNC:11273|Ensembl:ENSG00000197694|AllianceGenome:HGNC:11273	9	9q34.11	spectrin alpha, non-erythrocytic 1	protein-coding	SPTAN1	spectrin alpha, non-erythrocytic 1	O	spectrin alpha chain, non-erythrocytic 1|alpha-II spectrin|alpha-fodrin|epididymis secretory sperm binding protein|fodrin alpha chain|spectrin, non-erythroid alpha chain|spectrin, non-erythroid alpha subunit	20250511	-
SSR1	9606	6745	-	TRAPA	MIM:600868|HGNC:HGNC:11323|Ensembl:ENSG00000124783|AllianceGenome:HGNC:11323	6	6p24.3	signal sequence receptor subunit 1	protein-coding	SSR1	signal sequence receptor subunit 1	O	translocon-associated protein subunit alpha|SSR alpha subunit|SSR-alpha|TRAP alpha|signal sequence receptor subunit alpha|signal sequence receptor, alpha|translocon-associated protein alpha subunit	20250503	-
SUZ12	9606	23512	-	CHET9|IMMAS|JJAZ1	MIM:606245|HGNC:HGNC:17101|Ensembl:ENSG00000178691|AllianceGenome:HGNC:17101	17	17q11.2	SUZ12 polycomb repressive complex 2 subunit	protein-coding	SUZ12	SUZ12 polycomb repressive complex 2 subunit	O	polycomb protein SUZ12|chET 9 protein|chromatin precipitated E2F target 9 protein|joined to JAZF1 protein|suppressor of zeste 12 protein homolog	20250503	-
TAX1BP1	9606	8887	-	CALCOCO3|T6BP|TXBP151	MIM:605326|HGNC:HGNC:11575|Ensembl:ENSG00000106052|AllianceGenome:HGNC:11575	7	7p15.2	Tax1 binding protein 1	protein-coding	TAX1BP1	Tax1 binding protein 1	O	tax1-binding protein 1|TRAF6-binding protein|Tax1 (human T-cell leukemia virus type I) binding protein 1	20250511	-
TMCO1	9606	54499	-	CFSMR1|HP10122|PCIA3|PNAS-136|TMCC4	MIM:614123|HGNC:HGNC:18188|Ensembl:ENSG00000143183|AllianceGenome:HGNC:18188	1	1q24.1	transmembrane and coiled-coil domains 1	protein-coding	TMCO1	transmembrane and coiled-coil domains 1	O	calcium load-activated calcium channel|CLAC channel|Ca(2+) load-activated Ca(2+) channel|GEL complex subunit TMCO1|putative membrane protein|transmembrane and coiled-coil domain-containing protein 1|transmembrane and coiled-coil domains 4|xenogeneic cross-immune protein PCIA3	20250503	-
TMED5	9606	50999	-	CGI-100|p24g2|p28	MIM:616876|HGNC:HGNC:24251|Ensembl:ENSG00000117500|AllianceGenome:HGNC:24251	1	1p22.1	transmembrane p24 trafficking protein 5	protein-coding	TMED5	transmembrane p24 trafficking protein 5	O	transmembrane emp24 domain-containing protein 5|p24 family protein gamma-2|p24gamma2|transmembrane emp24 protein transport domain containing 5	20250503	-
TMED7	9606	51014	-	CGI-109|Tag|p24g3|p24gamma3|p27	MIM:619990|HGNC:HGNC:24253|Ensembl:ENSG00000134970|AllianceGenome:HGNC:24253	5	5q22.3	transmembrane p24 trafficking protein 7	protein-coding	TMED7	transmembrane p24 trafficking protein 7	O	transmembrane emp24 domain-containing protein 7|p24 family protein gamma-3|transmembrane emp24 protein transport domain containing 7	20250503	-
TMEM123	9606	114908	-	KCT3|PORIMIN|PORMIN	MIM:606356|HGNC:HGNC:30138|Ensembl:ENSG00000152558|AllianceGenome:HGNC:30138	11	11q22.2	transmembrane protein 123	protein-coding	TMEM123	transmembrane protein 123	O	porimin|KCT-3|keratinocytes associated transmembrane protein 3|pro-oncosis receptor inducing membrane injury|serine/threonine-rich receptor	20250503	-
TMEM126B	9606	55863	-	HT007|MC1DN29	MIM:615533|HGNC:HGNC:30883|Ensembl:ENSG00000171204|AllianceGenome:HGNC:30883	11	11q14.1	transmembrane protein 126B	protein-coding	TMEM126B	transmembrane protein 126B	O	complex I assembly factor TMEM126B, mitochondrial	20250503	-
TMEM158	9606	25907	-	BBP|RIS1|p40BBP	MIM:620257|HGNC:HGNC:30293|Ensembl:ENSG00000249992|AllianceGenome:HGNC:30293	3	3p21.31	transmembrane protein 158	protein-coding	TMEM158	transmembrane protein 158	O	transmembrane protein 158|40 kDa BINP-binding protein|BINP receptor|Ras induced senescence 1|brain injury-derived neurotrophic peptide (BINP) binding protein|brain specific binding protein	20250503	-
TMEM71	9606	137835	-	-	MIM:620287|HGNC:HGNC:26572|Ensembl:ENSG00000165071|AllianceGenome:HGNC:26572	8	8q24.22	transmembrane protein 71	protein-coding	TMEM71	transmembrane protein 71	O	transmembrane protein 71	20250503	-
TNS1	9606	7145	-	MST091|MST122|MST127|MSTP091|MSTP122|MSTP127|MXRA6|PPP1R155|TNS	MIM:600076|HGNC:HGNC:11973|Ensembl:ENSG00000079308|AllianceGenome:HGNC:11973	2	2q35	tensin 1	protein-coding	TNS1	tensin 1	O	tensin-1|Matrix-remodelling-associated protein 6|matrix-remodelling associated 6|protein phosphatase 1, regulatory subunit 155	20250503	-
TOMM7	9606	54543	-	GMPGS|TOM7	MIM:607980|HGNC:HGNC:21648|Ensembl:ENSG00000196683|AllianceGenome:HGNC:21648	7	7p15.3	translocase of outer mitochondrial membrane 7	protein-coding	TOMM7	translocase of outer mitochondrial membrane 7	O	mitochondrial import receptor subunit TOM7 homolog|translocase of outer membrane 7 kDa subunit homolog|translocase of outer mitochondrial membrane 7 homolog	20250503	-
TPT1	9606	7178	-	HRF|TCTP|p02|p23	MIM:600763|HGNC:HGNC:12022|Ensembl:ENSG00000133112|AllianceGenome:HGNC:12022	13	13q14.13	tumor protein, translationally-controlled 1	protein-coding	TPT1	tumor protein, translationally-controlled 1	O	translationally-controlled tumor protein|fortilin|histamine-releasing factor	20250511	-
TRAM1	9606	23471	-	PNAS8|TRAM|TRAMP	MIM:605190|HGNC:HGNC:20568|Ensembl:ENSG00000067167|AllianceGenome:HGNC:20568	8	8q13.3	translocation associated membrane protein 1	protein-coding	TRAM1	translocation associated membrane protein 1	O	translocating chain-associated membrane protein 1|translocating chain-associating membrane protein|translocation-associating membrane protein 1	20250503	-
TXN	9606	7295	-	TRDX|TRX|TRX1|TXN1|Trx80	MIM:187700|HGNC:HGNC:12435|Ensembl:ENSG00000136810|AllianceGenome:HGNC:12435	9	9q31.3	thioredoxin	protein-coding	TXN	thioredoxin	O	thioredoxin|ADF|ATL-derived factor|SASP|TXN delta 3|surface-associated sulphydryl protein|testicular tissue protein Li 199|thioredoxin delta 3	20250511	-
TXNDC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBL3	9606	5412	-	HCG-1|PNSC1	MIM:604711|HGNC:HGNC:12504|Ensembl:ENSG00000122042|AllianceGenome:HGNC:12504	13	13q12.3	ubiquitin like 3	protein-coding	UBL3	ubiquitin like 3	O	ubiquitin-like protein 3|MUB|hsMUB|membrane-anchored ubiquitin-fold protein|protein HCG-1	20250503	-
UCP2	9606	7351	-	BMIQ4|SLC25A8|UCPH	MIM:601693|HGNC:HGNC:12518|Ensembl:ENSG00000175567|AllianceGenome:HGNC:12518	11	11q13.4	uncoupling protein 2	protein-coding	UCP2	uncoupling protein 2	O	dicarboxylate carrier SLC25A8|mitochondrial uncoupling protein 2|solute carrier family 25 member 8|uncoupling protein 2 (mitochondrial, proton carrier)	20250503	-
UQCRQ	9606	27089	-	MC3DN4|QCR8|QP-C|QPC|UQCR7	MIM:612080|HGNC:HGNC:29594|Ensembl:ENSG00000164405|AllianceGenome:HGNC:29594	5	5q31.1	ubiquinol-cytochrome c reductase complex III subunit VII	protein-coding	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII	O	cytochrome b-c1 complex subunit 8|complex III subunit 8|complex III subunit VIII|low molecular mass ubiquinone-binding protein (9.5kD)|ubiquinol-cytochrome c reductase complex 9.5 kDa protein|ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C|ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa	20250503	-
USP15	9606	9958	-	UNPH-2|UNPH4	MIM:604731|HGNC:HGNC:12613|Ensembl:ENSG00000135655|AllianceGenome:HGNC:12613	12	12q14.1	ubiquitin specific peptidase 15	protein-coding	USP15	ubiquitin specific peptidase 15	O	ubiquitin carboxyl-terminal hydrolase 15|deubiquitinating enzyme 15|ubiquitin thioesterase 15|ubiquitin thiolesterase 15|ubiquitin-specific-processing protease 15	20250511	-
VAMP7	9606	6845	-	SYBL1|TI-VAMP|TIVAMP|VAMP-7	MIM:300053|HGNC:HGNC:11486|Ensembl:ENSG00000124333|Ensembl:ENSG00000292366|AllianceGenome:HGNC:11486	X|Y	Xq28 and Yq12	vesicle associated membrane protein 7	protein-coding	VAMP7	vesicle associated membrane protein 7	O	vesicle-associated membrane protein 7|synaptobrevin-like 1|synaptobrevin-like protein 1|tetanus neurotoxin-insensitive VAMP|tetanus-insensitive VAMP	20250503	-
VBP1	9606	7411	-	HIBBJ46|PFD3|PFDN3|VBP-1	MIM:300133|HGNC:HGNC:12662|Ensembl:ENSG00000155959|AllianceGenome:HGNC:12662	X	Xq28	VHL binding protein 1	protein-coding	VBP1	VHL binding protein 1	O	prefoldin subunit 3|von Hippel-Lindau binding protein 1	20250511	-
VCAN	9606	1462	-	CSPG2|ERVR|GHAP|PG-M|WGN|WGN1	MIM:118661|HGNC:HGNC:2464|Ensembl:ENSG00000038427|AllianceGenome:HGNC:2464	5	5q14.2-q14.3	versican	protein-coding	VCAN	versican	O	versican core protein|chondroitin sulfate proteoglycan core protein 2|glial hyaluronate-binding protein|large fibroblast proteoglycan|versican proteoglycan	20250503	-
VPS29	9606	51699	-	DC15|DC7|PEP11	MIM:606932|HGNC:HGNC:14340|Ensembl:ENSG00000111237|AllianceGenome:HGNC:14340	12	12q24.11	VPS29 retromer complex component	protein-coding	VPS29	VPS29 retromer complex component	O	vacuolar protein sorting-associated protein 29|PEP11 homolog|epididymis secretory sperm binding protein|hVPS29|retromer protein|vacuolar protein sorting 29 homolog|vacuolar sorting protein VPS29/PEP11|vesicle protein sorting 29|x 007 protein	20250511	-
VPS4B	9606	9525	-	MIG1|SKD1|SKD1B|VPS4-2	MIM:609983|HGNC:HGNC:10895|Ensembl:ENSG00000119541|AllianceGenome:HGNC:10895	18	18q21.33	vacuolar protein sorting 4 homolog B	protein-coding	VPS4B	vacuolar protein sorting 4 homolog B	O	vacuolar protein sorting-associated protein 4B|cell migration-inducing 1|cell migration-inducing gene 1 protein|suppressor of K(+) transport growth defect 1|suppressor of K+ transport defect 1|vacuolar protein sorting 4B	20250511	-
VWCE	9606	220001	-	URG11|VWC1	MIM:611115|HGNC:HGNC:26487|Ensembl:ENSG00000167992|AllianceGenome:HGNC:26487	11	11q12.2	von Willebrand factor C and EGF domains	protein-coding	VWCE	von Willebrand factor C and EGF domains	O	von Willebrand factor C and EGF domain-containing protein|HBV X protein up-regulated gene 11 protein|HBxAg up-regulated gene 11 protein	20250503	-
WDFY1	9606	57590	-	FENS-1|FENS1|WDF1|ZFYVE17	MIM:618080|HGNC:HGNC:20451|Ensembl:ENSG00000085449|AllianceGenome:HGNC:20451	2	2q36.1	WD repeat and FYVE domain containing 1	protein-coding	WDFY1	WD repeat and FYVE domain containing 1	O	WD repeat and FYVE domain-containing protein 1|FYVE domain-containing protein localized to endosomes 1|WD40- and FYVE domain-containing protein 1|phosphoinositide-binding protein SR1|zinc finger FYVE domain-containing protein 17	20250503	-
XIST	9606	7503	-	DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66	MIM:314670|HGNC:HGNC:12810|Ensembl:ENSG00000229807|AllianceGenome:HGNC:12810	X	Xq13.2	X inactive specific transcript	ncRNA	XIST	X inactive specific transcript	O	X inactive specific transcript (non-protein coding)|long intergenic non-protein coding RNA 1	20250514	-
YPEL5	9606	51646	-	CGI-127	MIM:609726|HGNC:HGNC:18329|Ensembl:ENSG00000119801|AllianceGenome:HGNC:18329	2	2p23.1	yippee like 5	protein-coding	YPEL5	yippee like 5	O	protein yippee-like 5	20250503	-
ZBED5	9606	58486	-	Buster1	MIM:615251|HGNC:HGNC:30803|Ensembl:ENSG00000236287|AllianceGenome:HGNC:30803	11	11p15.4	zinc finger BED-type containing 5	protein-coding	ZBED5	zinc finger BED-type containing 5	O	zinc finger BED domain-containing protein 5|transposon-derived Buster1 transposase-like protein	20250503	-
ZMPSTE24	9606	10269	-	FACE-1|FACE1|HGPS|PRO1|RSDM1|STE24|Ste24p	MIM:606480|HGNC:HGNC:12877|Ensembl:ENSG00000084073|AllianceGenome:HGNC:12877	1	1p34.2	zinc metallopeptidase STE24	protein-coding	ZMPSTE24	zinc metallopeptidase STE24	O	CAAX prenyl protease 1 homolog|farnesylated proteins-converting enzyme 1|prenyl protein-specific endoprotease 1|zinc metallopeptidase STE24 homolog|zinc metalloproteinase Ste24 homolog	20250503	-
ZNF281	9606	23528	-	GZP1|ZBP-99|ZBP99|ZNP-99	MIM:618703|HGNC:HGNC:13075|Ensembl:ENSG00000162702|AllianceGenome:HGNC:13075	1	1q32.1	zinc finger protein 281	protein-coding	ZNF281	zinc finger protein 281	O	zinc finger protein 281|GC-box-binding zinc finger protein 1|ZNP-99 transcription factor|transcription factor ZBP-99|zinc finger DNA-binding protein 99	20250511	-
